Wall time,Step,Value
1722206812.683209,1510598,2428.75439453125
1722206812.7768605,1510626,2431.790283203125
1722206840.8925445,1517002,2439.281494140625
1722206840.957632,1517020,2433.79443359375
1722206863.4478774,1523402,2442.28271484375
1722206863.5120142,1523422,2453.92919921875
1722206886.1204934,1529806,2459.46533203125
1722206886.1835816,1529826,2452.432861328125
1722206909.781638,1536210,2459.511474609375
1722206909.8378837,1536230,2460.947509765625
1722206931.77629,1542612,2461.255126953125
1722206931.8447514,1542632,2466.163330078125
1722206956.722503,1549010,2461.207763671875
1722206956.790613,1549028,2462.883544921875
1722206981.5846114,1555408,2463.349609375
1722206981.671394,1555430,2465.05126953125
1722207010.2318933,1561804,2468.164794921875
1722207010.3489912,1561834,2470.103759765625
1722207035.4651556,1568206,2481.782470703125
1722207035.5780623,1568236,2479.82568359375
1722207061.852734,1574608,2479.814208984375
1722207061.9519808,1574638,2476.886474609375
1722207087.4009733,1581010,2499.29638671875
1722207087.505044,1581040,2488.93994140625
1722207113.2620263,1587414,2486.41845703125
1722207113.3657558,1587442,2486.091552734375
1722207141.603247,1593816,2489.3095703125
1722207141.71051,1593846,2489.79541015625
1722207166.4177992,1600218,2492.493408203125
1722207166.5343275,1600250,2497.379638671875
1722207193.145439,1606620,2500.0810546875
1722207193.241291,1606648,2499.960205078125
1722207216.019691,1613022,2525.765380859375
1722207216.1103644,1613050,2515.01904296875
1722207240.762181,1619424,2523.376708984375
1722207240.8530433,1619452,2518.111328125
1722207264.2530956,1625826,2532.21142578125
1722207264.3551562,1625856,2529.749267578125
1722207290.503366,1632226,2533.226318359375
1722207290.6088092,1632258,2533.094970703125
1722207316.3883784,1638616,2540.625732421875
1722207316.514207,1638660,2547.06591796875
1722207340.1563292,1645016,2555.051025390625
1722207340.3110065,1645064,2559.017822265625
1722207365.5406106,1651420,2561.37744140625
1722207365.7052398,1651468,2566.942626953125
1722207388.9501698,1657818,2571.13427734375
1722207389.140661,1657872,2575.210205078125
1722207415.8790908,1664218,2577.83056640625
1722207416.074514,1664274,2579.3037109375
1722207439.7463813,1670616,2584.871826171875
1722207439.9422784,1670672,2587.559326171875
1722207464.4482706,1677020,2591.891357421875
1722207464.6735218,1677074,2594.799072265625
1722207487.180306,1683410,2588.994384765625
1722207489.6394947,1683476,2597.984619140625
1722207512.4647918,1689814,2606.006103515625
1722207512.669792,1689876,2602.95458984375
1722207538.4168448,1696210,2605.827392578125
1722207538.6348922,1696278,2611.420654296875
1722207561.0703442,1702608,2615.96630859375
1722207561.3114128,1702680,2618.516845703125
1722207586.3427832,1709010,2618.395751953125
1722207586.593977,1709084,2619.203369140625
1722207610.3950155,1715400,2621.719482421875
1722207610.6869907,1715486,2632.749267578125
1722207636.817615,1721802,2634.72314453125
1722207637.1181905,1721888,2632.15185546875
1722207661.8230875,1728204,2646.1259765625
1722207662.1722536,1728292,2642.343017578125
1722207686.9989378,1734606,2646.251953125
1722207687.2833362,1734694,2659.756103515625
1722207711.6779296,1741008,2656.35693359375
1722207711.923216,1741096,2657.832275390625
1722207734.577148,1747410,2658.865234375
1722207734.8501601,1747492,2659.018798828125
1722207760.3697534,1753812,2663.60791015625
1722207760.6375413,1753892,2659.771240234375
1722207783.6258209,1760214,2666.54833984375
1722207783.883469,1760294,2670.16552734375
1722207810.1970475,1766618,2671.2666015625
1722207810.4505162,1766696,2678.309814453125
1722207833.7916799,1773020,2675.81494140625
1722207834.05539,1773100,2673.528076171875
1722207860.1105027,1779422,2678.131591796875
1722207860.385599,1779496,2674.63720703125
1722207884.4079118,1785826,2684.694091796875
1722207886.9945555,1785890,2683.2900390625
1722207911.0152986,1792228,2690.510986328125
1722207911.2427948,1792294,2689.865478515625
1722207936.7981324,1798632,2691.826904296875
1722207937.0058103,1798696,2691.696533203125
1722207959.412334,1805034,2699.862548828125
1722207959.5935326,1805090,2701.123779296875
1722207984.4376192,1811436,2701.768310546875
1722207984.6260393,1811494,2704.474609375
1722208008.009982,1817838,2715.500732421875
1722208008.208133,1817896,2711.936767578125
1722208033.4956615,1824240,2707.254150390625
1722208033.6524503,1824288,2709.76953125
1722208057.2244034,1830642,2722.907958984375
1722208057.4214427,1830692,2718.556884765625
1722208082.8595104,1837046,2725.56689453125
1722208083.02011,1837094,2723.283447265625
1722208109.2457628,1843448,2732.6005859375
1722208109.413489,1843498,2731.42041015625
1722208133.3378816,1849840,2732.474853515625
